"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","created2"
"138","@eloteloko1 @amilcarmontejo @traficogt @infoTRAFICOgt @prensa_libre Te dije que no salieras culero jajaja",FALSE,1,"eloteloko1",2018-10-19 19:40:17,FALSE,"1053343999606571008","1053370267395858433","343470746","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EP_Byron",0,FALSE,FALSE,NA,NA,2018-10-19 13:40:17
"139","RT @InformalDiario: Imagen EXCLUSIVA de como quedó la Aguilar Batres luego del #traficogt de los últimos días por la #lluviagt (y la impeca…",FALSE,0,NA,2018-10-19 19:39:07,FALSE,NA,"1053369975891738625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RolixSk8",16,TRUE,FALSE,NA,NA,2018-10-19 13:39:07
"140","@SantosDalia @amilcarmontejo @traficogt venga a la 53 calle petapa (TIPIC) y controlen esto por favor todos están c… https://t.co/QwDXWen5bU",FALSE,0,"SantosDalia",2018-10-19 19:33:56,TRUE,NA,"1053368669949095938","551138653","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","erickc07",1,FALSE,FALSE,NA,NA,2018-10-19 13:33:56
"141","RT @DashcamGT: Si hay un carro con pide vías puesto para virar debes esperar para rebasar. El motorista tuvo que esperar para no arriesgars…",FALSE,0,NA,2018-10-19 19:31:01,FALSE,NA,"1053367935975219200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lofirolu",8,TRUE,FALSE,NA,NA,2018-10-19 13:31:01
"142","RT @InformalDiario: Imagen EXCLUSIVA de como quedó la Aguilar Batres luego del #traficogt de los últimos días por la #lluviagt (y la impeca…",FALSE,0,NA,2018-10-19 19:30:40,FALSE,NA,"1053367850906324993",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yelapablo",16,TRUE,FALSE,NA,NA,2018-10-19 13:30:40
"143","RT @rutnoemi_: POR FAVOR AYUDA!! Los vecinos de enfrente me obligaron a quitar mi carro de ese parqueo. ¿eso es legal? ¿o si me puedo parqu…",FALSE,0,NA,2018-10-19 19:29:43,FALSE,NA,"1053367609272479751",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bryan_0710",9,TRUE,FALSE,NA,NA,2018-10-19 13:29:43
"144","Si hay un carro con pide vías puesto para virar debes esperar para rebasar. El motorista tuvo que esperar para no a… https://t.co/RVxzYEiFTU",FALSE,7,NA,2018-10-19 19:26:27,TRUE,NA,"1053366787138617344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DashcamGT",8,FALSE,FALSE,NA,NA,2018-10-19 13:26:27
"145","RT @PampichiNews: #URGENTE - #COMPARTE <U+26A0><U+FE0F><U+26DF>
#TraficoGT completamente detenido en la ruta al Pacífico km. 16 ruta al Pacífico hacia la ciudad…",FALSE,0,NA,2018-10-19 19:22:27,FALSE,NA,"1053365781155770369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tamalloco",9,TRUE,FALSE,NA,NA,2018-10-19 13:22:27
"146","Por gente así es que el #traficogt se pone peor, después nadie pasa https://t.co/C9gZfJpM9l",FALSE,0,NA,2018-10-19 19:20:52,FALSE,NA,"1053365382097108992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Caibalo",0,FALSE,FALSE,NA,NA,2018-10-19 13:20:52
"147","RT @DashcamGT: Y luego se hacen las víctimas, cuando ellos mismos se ponen en peligro. Aparte de ir contra la vía, coloca el pie en el carr…",FALSE,0,NA,2018-10-19 19:15:43,FALSE,NA,"1053364085155381250",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","fremovixi76",12,TRUE,FALSE,NA,NA,2018-10-19 13:15:43
"148","RT @piucarrera: Si me miran en el bello #TraficoGT hay me saludan, no sean maleducados. <U+0001F601> https://t.co/3UMkpH8TcG",FALSE,0,NA,2018-10-19 19:15:28,FALSE,NA,"1053364022286921730",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Jp63",5,TRUE,FALSE,NA,NA,2018-10-19 13:15:28
"149","#TraficoVn #TraficoGT contenedor suelto de plataforma en Barcenas villa nueva @amilcarmontejo @SantosDalia https://t.co/M3zVbOtpbW",FALSE,0,NA,2018-10-19 19:12:42,FALSE,NA,"1053363325906665472",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Iamprillescas",0,FALSE,FALSE,NA,NA,2018-10-19 13:12:42
"150","RT @manualexh2: Dios bendiga a @SantosDalia excelente trabajo en comunicar todo lo que pasa en #TraficoGT",FALSE,0,NA,2018-10-19 19:11:55,FALSE,NA,"1053363132146573312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SantosDalia",2,TRUE,FALSE,NA,NA,2018-10-19 13:11:55
